site_code,kit_ref,parent_sku,revision_code,component_sku,quantity_per,line_uom
CMF-ALIGARH,MK-KIT-001,FG-PUMP-12,R1,RM-ROD-12MM,1,KG
CMF-ALIGARH,MK-KIT-001,FG-PUMP-12,R1,BRG-6204,9,EA
CMF-ALIGARH,MK-KIT-001,FG-PUMP-12,R1,SEAL-35MM,3,EA
CMF-ALIGARH,MK-KIT-002,FG-FRAME-A,R1,BRG-6204,2,EA
CMF-ALIGARH,MK-KIT-002,FG-FRAME-A,R1,SEAL-35MM,3,EA
CMF-ALIGARH,MK-KIT-002,FG-FRAME-A,R1,RM-PLATE-6MM,4,KG
CMF-ALIGARH,MK-KIT-003,FG-BRACKET-H,R1,SEAL-35MM,3,EA
CMF-ALIGARH,MK-KIT-003,FG-BRACKET-H,R1,RM-PLATE-6MM,4,KG
CMF-ALIGARH,MK-KIT-003,FG-BRACKET-H,R1,FAST-M8-BOLT,5,EA
CMF-ALIGARH,MK-KIT-001,FG-PUMP-12,R1,CON-GRIND-DISC,2,EA
