site_code,po_number_ext,line_no,sku,supplier_ref_ext,ordered_qty,received_qty,open_qty,over_receipt_tolerance_pct,under_receipt_tolerance_pct
CMF-ALIGARH,MK-PO-0001,1,BRG-6204,SUP-ACME,218,173,52,5,5
CMF-ALIGARH,MK-PO-0001,2,RM-ROD-16MM,SUP-ACME,260,139,121,5,5
CMF-ALIGARH,MK-PO-0002,1,RM-PLATE-6MM,SUP-BHARAT-STEEL,364,44,320,5,5
CMF-ALIGARH,MK-PO-0002,2,PKG-PALLET,SUP-BHARAT-STEEL,483,47,436,5,5
CMF-ALIGARH,MK-PO-0002,3,RM-PLATE-6MM,SUP-BHARAT-STEEL,283,197,86,5,5
CMF-ALIGARH,MK-PO-0003,1,PKG-CARTON-L,SUP-NORTHERN-FAST,402,99,303,5,5
CMF-ALIGARH,MK-PO-0003,2,CON-GLOVES,SUP-NORTHERN-FAST,247,224,23,5,5
CMF-ALIGARH,MK-PO-0004,1,CON-GRIND-DISC,SUP-ACME,107,100,7,5,5
CMF-ALIGARH,MK-PO-0004,2,RM-COIL-2MM,SUP-ACME,52,25,27,5,5
CMF-ALIGARH,MK-PO-0005,1,BRG-6204,SUP-ACME,400,0,400,5,5
CMF-ALIGARH,MK-PO-0005,2,RM-COIL-2MM,SUP-ACME,5000,0,5000,5,5
CMF-ALIGARH,MK-PO-0005,3,SEAL-35MM,SUP-ACME,600,0,600,5,5
CMF-ALIGARH,MK-PO-0005,4,FAST-M8-BOLT,SUP-ACME,20000,0,20000,5,5
CMF-ALIGARH,MK-PO-9001,1,BRG-6204,SUP-ACME,100,0,100,,
