site_code,location_code,sku,lot_number,serial_number,quantity,uom,stock_class,unit_cost,expiry_date,counted_on,pv_ref_ext,pv_line_ref_ext
CMF-ALIGARH,BIN-B02,PKG-CARTON-S,,,529.000000,EA,owned,8.2500,,2026-09-19,PV-SHEET-01,1
CMF-ALIGARH,BIN-A02,CON-GRIND-DISC,,,178.000000,EA,owned,92.2500,,2026-09-19,PV-SHEET-01,2
CMF-ALIGARH,BIN-R01,BRG-6306,,,235.000000,EA,owned,134.2500,,2026-09-19,PV-SHEET-01,3
CMF-ALIGARH,BIN-A01,RM-COIL-3MM,LOT-0001,,1557.300000,KG,owned,69.5000,2027-04-28,2026-09-19,PV-SHEET-01,4
CMF-ALIGARH,BIN-R02,GEARBOX-40,,SN-88001,1,EA,owned,17900.0000,,2026-09-19,PV-SHEET-01,5
CMF-ALIGARH,BIN-A01,CON-GLOVES,,,164.000000,EA,owned,71.2500,,2026-09-19,PV-SHEET-01,6
CMF-ALIGARH,BIN-J02,RM-PLATE-6MM,LOT-0002,,2385.900000,KG,owned,114.5000,,2026-09-19,PV-SHEET-01,7
CMF-ALIGARH,BIN-B01,RM-PLATE-6MM,LOT-0003,,1047.200000,KG,owned,114.5000,,2026-09-19,PV-SHEET-01,8
CMF-ALIGARH,BIN-B02,WELD-WIRE-1.2,LOT-0004,,2299.000000,KG,vmi,,2027-10-28,2026-09-19,PV-SHEET-01,9
CMF-ALIGARH,BIN-B02,FAST-M8-BOLT,LOT-0005,,774.000000,EA,consignment,,,2026-09-19,PV-SHEET-01,10
CMF-ALIGARH,BIN-B02,CON-GRIND-DISC,,,25.000000,EA,owned,92.2500,,2026-09-19,PV-SHEET-01,11
CMF-ALIGARH,BIN-A02,PROTO-BRKT-V3,,,774.000000,EA,prototype,,,2026-09-19,PV-SHEET-01,12
CMF-ALIGARH,BIN-B01,WELD-WIRE-1.2,LOT-0006,,1242.100000,KG,vmi,,,2026-09-19,PV-SHEET-01,13
CMF-ALIGARH,BIN-R01,CON-GRIND-DISC,,,615.000000,EA,owned,92.2500,,2026-09-19,PV-SHEET-01,14
CMF-ALIGARH,BIN-C01,CON-GRIND-DISC,,,402.000000,EA,owned,92.2500,,2026-09-19,PV-SHEET-01,15
CMF-ALIGARH,BIN-J02,FAST-M10-NUT,LOT-0007,,461.000000,EA,consignment,,,2026-09-19,PV-SHEET-01,16
CMF-ALIGARH,BIN-B02,PROTO-BRKT-V3,,,11.000000,EA,prototype,,,2026-09-19,PV-SHEET-01,17
CMF-ALIGARH,BIN-A01,RM-ROD-12MM,LOT-0008,,2381.900000,KG,owned,92.0000,2027-06-28,2026-09-19,PV-SHEET-01,18
CMF-ALIGARH,BIN-B01,CON-GLOVES,,,759.000000,EA,owned,71.2500,,2026-09-19,PV-SHEET-01,19
CMF-ALIGARH,BIN-A01,CUST-PLATE-8MM,LOT-0009,,2422.600000,KG,job_work,64.0000,,2026-09-19,PV-SHEET-01,20
CMF-ALIGARH,BIN-C02,RM-PIPE-25NB,LOT-0010,,1389.000000,KG,owned,107.0000,,2026-09-19,PV-SHEET-01,21
CMF-ALIGARH,BIN-R02,CUST-SHEET-3MM,LOT-0011,,1959.000000,KG,job_work,58.0000,,2026-09-19,PV-SHEET-01,22
CMF-ALIGARH,BIN-C01,CUST-ROD-20MM,LOT-0012,,1163.000000,KG,job_work,70.0000,2028-11-28,2026-09-19,PV-SHEET-01,23
CMF-ALIGARH,BIN-A02,CON-GLOVES,,,78.000000,EA,owned,71.2500,,2026-09-19,PV-SHEET-01,24
CMF-ALIGARH,BIN-R02,PKG-CARTON-L,,,674.000000,EA,owned,29.2500,,2026-09-19,PV-SHEET-01,25
CMF-ALIGARH,BIN-B02,RM-PIPE-25NB,LOT-0013,,1784.800000,KG,owned,107.0000,2028-12-28,2026-09-19,PV-SHEET-02,1
CMF-ALIGARH,BIN-C02,RM-COIL-3MM,LOT-0014,,344.600000,KG,owned,69.5000,,2026-09-19,PV-SHEET-02,2
CMF-ALIGARH,BIN-B01,RM-ROD-16MM,LOT-0015,,815.100000,KG,owned,99.5000,,2026-09-19,PV-SHEET-02,3
CMF-ALIGARH,BIN-A01,MTR-7.5KW,,SN-88002,1,EA,owned,13700.0000,,2026-09-19,PV-SHEET-02,4
CMF-ALIGARH,BIN-B02,GEARBOX-40,,SN-88003,1,EA,owned,17900.0000,,2026-09-19,PV-SHEET-02,5
CMF-ALIGARH,BIN-R01,CUST-PLATE-8MM,LOT-0016,,1607.700000,KG,job_work,64.0000,,2026-09-19,PV-SHEET-02,6
CMF-ALIGARH,BIN-C01,RM-PIPE-25NB,LOT-0017,,587.000000,KG,owned,107.0000,2028-02-28,2026-09-19,PV-SHEET-02,7
CMF-ALIGARH,BIN-R02,WELD-WIRE-1.2,LOT-0018,,290.100000,KG,vmi,,2027-11-28,2026-09-19,PV-SHEET-02,8
CMF-ALIGARH,BIN-B01,RM-SHEET-1MM,LOT-0019,,118.500000,KG,owned,77.0000,,2026-09-19,PV-SHEET-02,9
CMF-ALIGARH,BIN-J01,CON-GLOVES,,,701.000000,EA,owned,71.2500,,2026-09-19,PV-SHEET-02,10
CMF-ALIGARH,BIN-C01,PKG-CARTON-L,,,525.000000,EA,owned,29.2500,,2026-09-19,PV-SHEET-02,11
CMF-ALIGARH,BIN-A02,FAST-M8-BOLT,LOT-0020,,270.000000,EA,consignment,,,2026-09-19,PV-SHEET-02,12
CMF-ALIGARH,BIN-A02,VFD-5HP,,SN-88004,1,EA,owned,22100.0000,,2026-09-19,PV-SHEET-02,13
CMF-ALIGARH,BIN-B02,RM-ROD-12MM,LOT-0021,,194.400000,KG,owned,92.0000,,2026-09-19,PV-SHEET-02,14
CMF-ALIGARH,BIN-B01,RM-ROD-12MM,LOT-0022,,674.600000,KG,owned,92.0000,,2026-09-19,PV-SHEET-02,15
CMF-ALIGARH,BIN-A02,MTR-3.7KW,,SN-88005,1,EA,owned,9500.0000,,2026-09-19,PV-SHEET-02,16
CMF-ALIGARH,BIN-R01,RM-ROD-16MM,LOT-0023,,2341.800000,KG,owned,99.5000,,2026-09-19,PV-SHEET-02,17
CMF-ALIGARH,BIN-B01,RM-ROD-12MM,LOT-0024,,998.900000,EA,owned,92.0000,,2026-09-19,PV-SHEET-02,18
CMF-ALIGARH,BIN-R02,MTR-3.7KW,,SN-88006,1,EA,owned,9500.0000,,2026-09-19,PV-SHEET-02,19
CMF-ALIGARH,BIN-J02,FAST-M10-NUT,LOT-0025,,155.000000,EA,consignment,,,2026-09-19,PV-SHEET-02,20
CMF-ALIGARH,BIN-A01,RM-ROD-12MM,LOT-0026,,869.100000,KG,owned,92.0000,2027-04-28,2026-09-19,PV-SHEET-02,21
CMF-ALIGARH,BIN-J01,RM-COIL-2MM,LOT-0027,,1068.000000,KG,owned,62.0000,,2026-09-19,PV-SHEET-02,22
CMF-ALIGARH,BIN-B02,RM-COIL-3MM,LOT-0028,,221.400000,KG,owned,69.5000,,2026-09-19,PV-SHEET-02,23
CMF-ALIGARH,BIN-C02,PKG-CARTON-L,,,443.000000,EA,owned,29.2500,,2026-09-19,PV-SHEET-02,24
CMF-ALIGARH,BIN-B02,CUST-SHEET-3MM,LOT-0029,,1114.100000,KG,job_work,58.0000,,2026-09-19,PV-SHEET-02,25
CMF-ALIGARH,BIN-R01,FAST-M10-NUT,,,511.000000,EA,consignment,,,2026-09-19,PV-SHEET-03,1
CMF-ALIGARH,BIN-J02,SEAL-35MM,,,103.000000,EA,owned,155.2500,,2026-09-19,PV-SHEET-03,2
CMF-ALIGARH,BIN-J01,SEAL-35MM,,,404.000000,EA,owned,155.2500,,2026-09-19,PV-SHEET-03,3
CMF-ALIGARH,BIN-R02,RM-SHEET-2MM,LOT-0031,,1277.500000,KG,owned,84.5000,,2026-09-19,PV-SHEET-03,4
CMF-ALIGARH,BIN-J02,CON-GLOVES,,,760.000000,EA,owned,71.2500,,2026-09-19,PV-SHEET-03,5
CMF-ALIGARH,BIN-B02,GEARBOX-40,,SN-88007,1,EA,owned,17900.0000,,2026-09-19,PV-SHEET-03,6
CMF-ALIGARH,BIN-R01,FAST-M8-BOLT,LOT-0032,,12.000000,EA,consignment,,,2026-09-19,PV-SHEET-03,7
CMF-ALIGARH,BIN-A02,PKG-PALLET,,,251.000000,EA,owned,50.2500,,2026-09-19,PV-SHEET-03,8
CMF-ALIGARH,BIN-C02,CUST-ROD-20MM,LOT-0033,,2089.800000,KG,job_work,70.0000,,2026-09-19,PV-SHEET-03,9
CMF-ALIGARH,BIN-B01,CUST-PLATE-8MM,LOT-0034,,889.600000,KG,job_work,64.0000,2027-09-28,2026-09-19,PV-SHEET-03,10
CMF-ALIGARH,BIN-R01,VFD-5HP,,SN-88008,1,EA,owned,22100.0000,,2026-09-19,PV-SHEET-03,11
CMF-ALIGARH,BIN-A02,MTR-3.7KW,,SN-88009,1,EA,owned,9500.0000,,2026-09-19,PV-SHEET-03,12
CMF-ALIGARH,BIN-C02,RM-PIPE-25NB,LOT-0035,,104.500000,KG,owned,107.0000,2028-07-28,2026-09-19,PV-SHEET-03,13
